item,paper,condition,subcondition,aging,measure,timing,index
1CHR 01,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,1
1CHR 01,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,2
1CHR 01,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,3
1CHR 01,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,1
1CHR 01,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,2
1CHR 01,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,3
1CHR 02,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,1
1CHR 02,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,2
1CHR 02,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,3
1CHR 02,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,1
1CHR 02,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,2
1CHR 02,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,3
1CHR 03,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,1
1CHR 03,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,2
1CHR 03,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,3
1CHR 03,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,1
1CHR 03,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,2
1CHR 03,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,3
1CHR 04,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,1
1CHR 04,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,2
1CHR 04,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,BT,3
1CHR 04,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,1
1CHR 04,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,2
1CHR 04,Whatman Chromatography Paper 1CHR,Control,Control,Not Aged,ph,AT,3
